Gene_stable_ID	Gene_name	Gene_description
PRELSG_12_v1	""	isoleucine--tRNA ligase%2C putative
PRELSG_01_v1	""	V-type proton ATPase subunit a%2C putative
PRELSG_09_v1	""	hypothetical protein%2C pseudogene
PRELSG_12_v1	""	allantoicase%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	nucleus export protein BRR6%2C putative
PRELSG_14_v1	""	ubiquitin carboxyl-terminal hydrolase MNY%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	histone deacetylase%2C putative
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	RNA-binding protein%2C putative
PRELSG_00_v1_archived_contig_460	""	reticulocyte binding protein%2C putative%2C pseudogene
PRELSG_08_v1	""	mRNA-capping enzyme subunit beta%2C putative
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	E3 ubiquitin-protein ligase RNF5%2C putative
PRELSG_06_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	small nucleolar RNA snoR30
PRELSG_13_v1	""	protein KR1%2C putative
PRELSG_13_v1	""	pentatricopeptide repeat domain-containing protein%2C putative
PRELSG_13_v1	""	mitochondrial ribosomal protein S18 precursor%2C putative
PRELSG_12_v1	""	60S ribosome subunit biogenesis protein NP7%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	RNA-binding protein%2C putative
PRELSG_11_v1	""	glutaredoxin-like protein
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	lysine-specific histone demethylase 1%2C putative
PRELSG_13_v1	""	p1/s1 nuclease%2C putative
PRELSG_09_v1	""	heat shock factor-binding protein 1%2C putative
PRELSG_12_v1	""	nuclear movement protein%2C putative
PRELSG_00_v1_archived_contig_283	""	hypothetical protein
PRELSG_14_v1	""	sodium/hydrogen exchanger%2C Na+%2C H+ antiporter%2C putative
PRELSG_07_v1	""	W repeat-containing protein 66%2C putative
PRELSG_05_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	small nucleolar RNA snoR27
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	ribosome biogenesis protein TSR3%2C putative
PRELSG_01_v1	""	conserved protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	CPW-WPC family protein
PRELSG_09_v1	""	conserved protein%2C unknown function
PRELSG_07_v1	""	autophagy-related protein 3%2C putative
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	nucleolar protein 5%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	cysteine repeat modular protein 1%2C putative
PRELSG_00_v1_archived_contig_49	""	early transcribed membrane protein
PRELSG_11_v1	""	polyubiquitin binding protein%2C putative
PRELSG_99_v2_archived_contig_12	""	fam-f protein
PRELSG_AP_v1	""	apicoplast ribosomal protein S12%2C putative
PRELSG_14_v1	""	Plasmodium exported protein%2C unknown function
PRELSG_AP_v1	""	apicoplast ribosomal protein S19%2C putative
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_44	""	cytoadherence linked asexual protein%2C putative
PRELSG_14_v1	""	haloacid dehalogenase-like hydrolase%2C putative
PRELSG_08_v1	""	exportin-1%2C putative
PRELSG_01_v1	""	alpha/beta hydrolase%2C putative
PRELSG_14_v1	""	tetQ family GTPase%2C putative
PRELSG_13_v1	""	cGMP-dependent protein kinase%2C putative
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43%2C putative
PRELSG_00_v1_archived_contig_385	""	hypothetical protein
PRELSG_14_v1	""	BRO1 domain-containing protein%2C putative
PRELSG_00_v1_archived_contig_95	""	NA repair endonuclease XPF%2C putative
PRELSG_04_v1	""	syntaxin%2C Qa-SNARE family%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	heat shock protein 110%2C putative
PRELSG_05_v1	""	60S ribosomal protein L7ae/L30e%2C putative
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_05_v1	""	conserved Plasmodium membrane protein%2C unknown function
PRELSG_13_v1	""	choline kinase%2C putative
PRELSG_09_v1	""	inner membrane complex protein 1b%2C putative
PRELSG_09_v1	""	tRNA m(1)G methyltransferase%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	RNA-binding protein%2C putative
PRELSG_12_v1	""	golgi apparatus membrane protein TVP23%2C putative
PRELSG_14_v1	""	ATP-dependent protease subunit ClpQ%2C putative
PRELSG_10_v1	""	triose phosphate transporter%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	rap guanine nucleotide exchange factor%2C putative
PRELSG_09_v1	""	beige/BEACH domain protein%2C putative
PRELSG_07_v1	""	LCCL domain-containing protein
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	U4/U6.U5 tri-snRNP-associated protein 2%2C putative
PRELSG_14_v1	""	3-hydroxyisobutyryl-coenzyme A hydrolase%2C putative
PRELSG_00_v1_archived_contig_194	""	Plasmodium exported protein%2C unknown function
PRELSG_08_v1	""	W repeat-containing protein%2C putative
PRELSG_04_v1	""	calcium-dependent protein kinase 1%2C putative
PRELSG_04_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_04_v1	""	Ku70/Ku80 beta-barrel domain-containing protein%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_06_v1	""	endomembrane protein 70%2C putative
PRELSG_05_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	ES2 protein%2C putative
PRELSG_12_v1	""	LCCL domain-containing protein
PRELSG_10_v1	""	mitochondrial import receptor subunit TOM22%2C putative
PRELSG_05_v1	""	meiotic recombination protein MC1%2C putative
PRELSG_04_v1	""	GAF domain-related protein%2C putative
PRELSG_12_v1	""	RNA polymerase  transcription factor B subunit 5%2C putative
PRELSG_13_v1	""	OST-HTH associated domain protein%2C putative
PRELSG_12_v1	""	LMBR1 domain-containing protein%2C putative
PRELSG_07_v1	""	replication protein A1%2C small fragment%2C putative
PRELSG_10_v1	""	phosducin-like protein%2C putative
PRELSG_11_v1	""	hypothetical protein%2C pseudogene
PRELSG_09_v1	""	small nucleolar RNA snoR13
PRELSG_11_v1	""	calcium-dependent protein kinase 2%2C putative
PRELSG_11_v1	""	regulator of chromosome condensation%2C putative
PRELSG_07_v1	""	26S proteasome regulatory subunit RPN8%2C putative
PRELSG_AP_v1	""	tRNA Tyrosine
PRELSG_10_v1	""	nuclear protein localization protein 4%2C putative
PRELSG_00_v1_archived_contig_95	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	ribosome biogenesis protein YTM1%2C putative
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	exported protein 1%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	RNA-binding protein%2C putative
PRELSG_08_v1	""	heme oxygenase%2C putative
PRELSG_00_v1_archived_contig_122	""	reticulocyte binding protein%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	surface protein P113%2C putative
PRELSG_00_v1_archived_contig_388	""	MSP3-like protein
PRELSG_08_v1	""	N-terminal acetyltransferase A complex catalytic subunit AR1%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_449	""	reticulocyte binding protein%2C putative
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_317	""	TRAP-like protein%2C putative
PRELSG_00_v1_archived_contig_402	""	hypothetical protein
PRELSG_12_v1	""	ubiquitin-activating enzyme%2C putative
PRELSG_10_v1	""	stripes inner membrane complex protein%2C putative
PRELSG_08_v1	""	phosphatidylethanolamine-binding protein%2C putative
PRELSG_03_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	zinc finger protein%2C putative
PRELSG_14_v1	""	anaphase-promoting complex subunit 10%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_05_v1	""	phosphorylated CT interacting factor 1 WW domain-containing protein%2C putative
PRELSG_12_v1	""	EF-hand calcium-binding domain-containing protein%2C putative
PRELSG_11_v1	""	superoxide dismutase [Fe]%2C putative
PRELSG_02_v1	""	3'-5' exonuclease%2C putative
PRELSG_00_v1_archived_contig_434	""	surface-associated interspersed protein (SURFN)%2C pseudogene
PRELSG_10_v1	""	structural maintenance of chromosomes protein 6%2C putative
PRELSG_00_v1_archived_contig_163	""	hypothetical protein
PRELSG_02_v1	""	LEM3/CC50 family protein%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_315	""	surface-associated interspersed protein (SURFN)
PRELSG_12_v1	""	transcriptional regulatory protein sir2a%2C putative
PRELSG_07_v1	""	conserved Plasmodium membrane protein%2C unknown function
PRELSG_13_v1	""	AAA family ATPase%2C putative
PRELSG_09_v1	""	OTU domain-containing protein%2C putative
PRELSG_05_v1	""	50S ribosomal protein L10%2C putative
PRELSG_04_v1	""	pre-mRNA-processing protein 45%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	NOSP domain-containing protein%2C putative
PRELSG_01_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	zinc finger (CCCH type) protein%2C putative
PRELSG_14_v1	""	protein kinase%2C putative
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	high mobility group protein B1%2C putative
PRELSG_00_v1_archived_contig_132	""	fam-h protein
PRELSG_99_v2_archived_contig_9	""	hypothetical protein
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_01_v1	""	prodrug activation and resistance esterase%2C putative
PRELSG_07_v1	""	phospholipid or glycerol acyltransferase%2C putative
PRELSG_12_v1	""	GTPase%2C putative
PRELSG_14_v1	""	dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex%2C putative
PRELSG_01_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	aminophospholipid transporter%2C putative
PRELSG_11_v1	""	trophozoite exported protein 1%2C putative
PRELSG_12_v1	""	S-adenosylmethionine-dependent methyltransferase%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	PhL1 interacting protein PP3%2C putative
PRELSG_13_v1	""	translation initiation factor eF-2B subunit alpha%2C putative
PRELSG_13_v1	""	ATP-dependent Clp protease proteolytic subunit%2C putative
PRELSG_03_v1	""	6-cysteine protein%2C putative
PRELSG_14_v1	""	small nucleolar RNA snoR15
PRELSG_04_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	bax inhibitor 1%2C putative
PRELSG_14_v1	""	conserved protein%2C unknown function
PRELSG_12_v1	""	tRNA 3'-trailer sequence RNase%2C putative
PRELSG_13_v1	""	origin recognition complex subunit 1%2C putative
PRELSG_13_v1	""	nucleolar GTP-binding protein 2%2C putative
PRELSG_12_v1	""	mediator of RNA polymerase  transcription subunit 31%2C putative
PRELSG_03_v1	""	type 2A phosphatase-associated protein 42%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	4-hydroxybenzoate polyprenyltransferase%2C putative
PRELSG_07_v1	""	phosphatidylinositol N-acetylglucosaminyltransferase%2C putative
PRELSG_AP_v1	""	tRNA Lysine
PRELSG_01_v1	""	tRNA Tyrosine
PRELSG_02_v1	""	OST3/OST6 domain-containing protein%2C putative
PRELSG_04_v1	""	RNG zinc finger protein%2C putative
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	TRAP-like protein%2C putative
PRELSG_06_v1	""	thioredoxin-like associated protein 2%2C putative
PRELSG_12_v1	""	aconitate hydratase%2C putative
PRELSG_07_v1	""	zinc finger protein%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_02_v1	""	AP2 domain transcription factor AP2-L%2C putative
PRELSG_12_v1	""	hypothetical protein
PRELSG_00_v1_archived_contig_204	""	reticulocyte binding protein%2C putative
PRELSG_10_v1	""	purine nucleoside phosphorylase%2C putative
PRELSG_13_v1	""	CorA-like Mg2+ transporter protein%2C putative
PRELSG_12_v1	""	exoribonuclease%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	sphingomyelin synthase 2%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	hypothetical protein
PRELSG_13_v1	""	FeS assembly ATPase SufC%2C putative
PRELSG_01_v1	""	protein SCO1%2C putative
PRELSG_04_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	tRNA import protein tRP%2C putative
PRELSG_12_v1	""	centrin-2%2C putative
PRELSG_14_v1	""	rRNA-processing protein%2C putative
PRELSG_01_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	AP2 domain transcription factor%2C putative
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_449	""	sporozoite invasion-associated protein 2%2C putative
PRELSG_01_v1	""	tubulin gamma chain%2C putative
PRELSG_07_v1	""	heat shock protein 70%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	CPW-WPC family protein
PRELSG_12_v1	""	mitochondrial pyruvate carrier protein 2%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_229	""	multidrug resistance protein 2%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_04_v1	""	serine repeat antigen%2C putative
PRELSG_04_v1	""	conserved protein%2C unknown function
PRELSG_10_v1	""	HCNGP-like protein%2C putative
PRELSG_12_v1	""	naJ protein%2C putative
PRELSG_07_v1	""	serine/threonine protein kinase%2C putative
PRELSG_AP_v1	""	hypothetical protein
PRELSG_13_v1	""	alpha/beta hydrolase%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_447	""	fam-e protein
PRELSG_11_v1	""	serine/threonine protein kinase%2C putative
PRELSG_AP_v1	""	apicoplast ribosomal protein S5%2C putative
PRELSG_05_v1	""	RW domain-containing protein%2C putative
PRELSG_10_v1	""	sugar transporter%2C putative
PRELSG_AP_v1	""	apicoplast ribosomal protein L36%2C putative
PRELSG_09_v1	""	Josephin domain-containing protein%2C putative
PRELSG_08_v1	""	hypoxanthine-guanine phosphoribosyltransferase%2C putative
PRELSG_14_v1	""	26S protease regulatory subunit 7%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_269	""	reticulocyte binding protein%2C putative
PRELSG_11_v1	""	SAC3 domain-containing protein%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	AP2 domain transcription factor AP2-G2%2C putative
PRELSG_07_v1	""	fumarate hydratase%2C putative
PRELSG_02_v1	""	1-cys peroxiredoxin%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	NA ligase %2C putative
PRELSG_12_v1	""	poly(A)-specific ribonuclease PARN%2C putative
PRELSG_13_v1	""	small nucleolar RNA snoR24
PRELSG_12_v1	""	NA repair metallo-beta-lactamase protein%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	Yos1-like protein%2C putative
PRELSG_08_v1	""	plasmoredoxin%2C putative
PRELSG_01_v1	""	E3 ubiquitin-protein ligase%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_05_v1	""	heat shock protein 70%2C putative
PRELSG_14_v1	""	NA repair protein rhp16%2C putative
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	pre-mRNA-splicing factor SLU7%2C putative
PRELSG_04_v1	""	40S ribosomal protein S15A%2C putative
PRELSG_00_v1_archived_contig_331	""	hypothetical protein
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_01_v1	""	phosphopantetheine adenylyltransferase%2C putative
PRELSG_07_v1	""	CRAL/TRO domain-containing protein%2C putative
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_01_v1	""	AAA family ATPase%2C putative
PRELSG_00_v1_archived_contig_130	""	surface-associated interspersed protein (SURFN)
PRELSG_12_v1	""	cyclin 1%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	40S ribosomal protein S28e%2C putative
PRELSG_07_v1	""	dynein heavy chain%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	thioredoxin-like protein%2C putative
PRELSG_12_v1	""	exosome complex component RRP42%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
